issuer_name,state,in_network_denied,internal_appeals,appeals_per_1000_denials,appeal_overturn_rate,external_reviews,external_review_overturn_rate,claims_year,apellica_page
PacificSource Health Plans,OR,658,136,206.68693009118542,0.0882,,,2024,https://apellica.com/insurer-denial-rates/oregon/pacificsource-health-plans
Oscar Insurance Company,NE,10186,950,93.26526605144315,0.46,16,,2024,https://apellica.com/insurer-denial-rates/nebraska/oscar-insurance-company
Oscar Insurance Company,OK,60135,4223,70.22532634904798,0.2744,83,0.4337,2024,https://apellica.com/insurer-denial-rates/oklahoma/oscar-insurance-company
CHRISTUS Health Plan Louisiana,LA,22585,1566,69.3380562320124,0.4093,0,0,2024,https://apellica.com/insurer-denial-rates/louisiana/christus-health-plan-louisiana
Oscar Insurance Corporation of Ohio,OH,121739,8186,67.24221490237312,0.3407,255,0.2627,2024,https://apellica.com/insurer-denial-rates/ohio/oscar-insurance-corporation-of-ohio
Anthem Health Plans of NH(Anthem BCBS),NH,2555,160,62.62230919765166,0.4438,,,2024,https://apellica.com/insurer-denial-rates/new-hampshire/anthem-health-plans-of-nh-anthem-bcbs
Oscar Insurance Company,IA,117430,7284,62.0284424763689,0.2975,144,0.2778,2024,https://apellica.com/insurer-denial-rates/iowa/oscar-insurance-company
"Kaiser Foundation Health Plan, Inc.",HI,584,33,56.50684931506849,0.4848,0,0,2024,https://apellica.com/insurer-denial-rates/hawaii/kaiser-foundation-health-plan-inc
Oscar Buckeye State Insurance Corp.,OH,337922,18709,55.364847509188515,0.2512,394,0.2563,2024,https://apellica.com/insurer-denial-rates/ohio/oscar-buckeye-state-insurance-corp
"Oscar Health Plan, Inc.",AZ,82246,4434,53.91143642244,0.207,152,0.3289,2024,https://apellica.com/insurer-denial-rates/arizona/oscar-health-plan-inc
Kaiser Foundation Healthplan of the NW,OR,725,39,53.793103448275865,0.4359,0,0,2024,https://apellica.com/insurer-denial-rates/oregon/kaiser-foundation-healthplan-of-the-nw
Oscar Insurance Company,KS,77239,4096,53.03020494827743,0.3516,80,0.1875,2024,https://apellica.com/insurer-denial-rates/kansas/oscar-insurance-company
Oscar Insurance Company,TN,187709,9553,50.892605042912166,0.3828,162,0.1852,2024,https://apellica.com/insurer-denial-rates/tennessee/oscar-insurance-company
