treatment,treatment_slug,diagnosis_category,diagnosis_slug,decisions,overturned,overturn_rate,year_min,year_max,medical_necessity,experimental,urgent,decisions_last_5y,overturned_last_5y,apellica_page
Other,other,Orth/Musculoskeletal,orth-musculoskeletal,1812,572,0.3157,2001,2025,950,849,13,338,111,https://apellica.com/appeal-outcomes/california-imr/other/orth-musculoskeletal
Weight Control,weight-control,Endocrine/Metabolic,endocrine-metabolic,1371,1200,0.8753,2003,2026,1327,44,0,1355,1188,https://apellica.com/appeal-outcomes/california-imr/weight-control/endocrine-metabolic
RTC,rtc,Mental Disorder,mental-disorder,1351,1083,0.8016,2019,2026,1349,2,0,1127,890,https://apellica.com/appeal-outcomes/california-imr/rtc/mental-disorder
Anti-virals,anti-virals,Infectious Disease,infectious-disease,1310,1082,0.8260,2003,2025,1296,14,0,20,14,https://apellica.com/appeal-outcomes/california-imr/anti-virals/infectious-disease
RTC/ Admit,rtc-admit,Mental Disorder,mental-disorder,1031,426,0.4132,2002,2020,1016,4,11,0,0,https://apellica.com/appeal-outcomes/california-imr/rtc-admit/mental-disorder
Other,other,CNS/ Neuromusc Dis,cns-neuromusc-dis,947,524,0.5533,2001,2025,558,385,4,204,139,https://apellica.com/appeal-outcomes/california-imr/other/cns-neuromusc-dis
Viscosupp Injection,viscosupp-injection,Orth/Musculoskeletal,orth-musculoskeletal,824,774,0.9393,2018,2025,801,23,0,520,509,https://apellica.com/appeal-outcomes/california-imr/viscosupp-injection/orth-musculoskeletal
Other,other,Cardiac/Circ Problem,cardiac-circ-problem,734,317,0.4319,2001,2025,344,387,3,115,68,https://apellica.com/appeal-outcomes/california-imr/other/cardiac-circ-problem
Other,other,Cancer,cancer,713,364,0.5105,2002,2025,296,414,3,105,63,https://apellica.com/appeal-outcomes/california-imr/other/cancer
Other,other,Mental Disorder,mental-disorder,631,281,0.4453,2002,2025,530,97,4,54,30,https://apellica.com/appeal-outcomes/california-imr/other/mental-disorder
Hormones,hormones,Endocrine/Metabolic,endocrine-metabolic,547,234,0.4278,2002,2025,512,35,0,112,56,https://apellica.com/appeal-outcomes/california-imr/hormones/endocrine-metabolic
MRI,mri,Orth/Musculoskeletal,orth-musculoskeletal,527,209,0.3966,2001,2025,511,15,1,172,89,https://apellica.com/appeal-outcomes/california-imr/mri/orth-musculoskeletal
Speech Therapy,speech-therapy,Pediatrics,pediatrics,482,366,0.7593,2002,2026,479,3,0,20,14,https://apellica.com/appeal-outcomes/california-imr/speech-therapy/pediatrics
Mammography,mammography,Prevention/Good Hlth,prevention-good-hlth,473,444,0.9387,2014,2019,3,470,0,0,0,https://apellica.com/appeal-outcomes/california-imr/mammography/prevention-good-hlth
Other,other,Digestive System/ GI,digestive-system-gi,473,183,0.3869,2002,2025,224,249,0,35,19,https://apellica.com/appeal-outcomes/california-imr/other/digestive-system-gi
Appld Behav Analysis,appld-behav-analysis,Autism Spectrum,autism-spectrum,459,327,0.7124,2006,2025,435,24,0,74,34,https://apellica.com/appeal-outcomes/california-imr/appld-behav-analysis/autism-spectrum
Skin Treatment,skin-treatment,Skin Disorders,skin-disorders,448,302,0.6741,2002,2025,430,18,0,197,160,https://apellica.com/appeal-outcomes/california-imr/skin-treatment/skin-disorders
Partial Hospital,partial-hospital,Mental Disorder,mental-disorder,356,224,0.6292,2002,2025,354,0,2,101,87,https://apellica.com/appeal-outcomes/california-imr/partial-hospital/mental-disorder
Speech Therapy,speech-therapy,Autism Spectrum,autism-spectrum,354,261,0.7373,2002,2025,352,2,0,40,23,https://apellica.com/appeal-outcomes/california-imr/speech-therapy/autism-spectrum
Acute Psych/ Admit,acute-psych-admit,Mental Disorder,mental-disorder,346,192,0.5549,2002,2020,340,0,6,0,0,https://apellica.com/appeal-outcomes/california-imr/acute-psych-admit/mental-disorder
Botox Injection,botox-injection,CNS/ Neuromusc Dis,cns-neuromusc-dis,335,209,0.6239,2001,2025,116,219,0,47,39,https://apellica.com/appeal-outcomes/california-imr/botox-injection/cns-neuromusc-dis
Other,other,GU/ Kidney Disorder,gu-kidney-disorder,330,136,0.4121,2002,2025,167,160,3,64,39,https://apellica.com/appeal-outcomes/california-imr/other/gu-kidney-disorder
