issuer_name,state,denial_rate_2023_claims,denial_rate_2024_claims,change_pp,in_network_claims_2024,apellica_page
"AmeriHealth Caritas Florida, Inc.",FL,0.539,0.2573,-28.170000000000005,79451,https://apellica.com/insurer-denial-rates/florida/amerihealth-caritas-florida-inc
Blue Cross and Blue Shield of Montana,MT,0.3945,0.1247,-26.980000000000004,1143888,https://apellica.com/insurer-denial-rates/montana/blue-cross-and-blue-shield-of-montana
UnitedHealthcare Insurance Company,AL,0.4158,0.1786,-23.72,6010107,https://apellica.com/insurer-denial-rates/alabama/unitedhealthcare-insurance-company
"AmeriHealth Caritas VIP Next, Inc.",DE,0.4987,0.2798,-21.889999999999997,165638,https://apellica.com/insurer-denial-rates/delaware/amerihealth-caritas-vip-next-inc
UnitedHealthcare Insurance Company,KS,0.3588,0.1794,-17.94,935058,https://apellica.com/insurer-denial-rates/kansas/unitedhealthcare-insurance-company
UnitedHealthcare Insurance Company,LA,0.4105,0.2411,-16.939999999999998,1031551,https://apellica.com/insurer-denial-rates/louisiana/unitedhealthcare-insurance-company
"UnitedHealthcare of Arizona, Inc.",AZ,0.3962,0.238,-15.82,2715431,https://apellica.com/insurer-denial-rates/arizona/unitedhealthcare-of-arizona-inc
Blue Cross and Blue Shield of Alabama,AL,0.3478,0.1904,-15.739999999999998,10704172,https://apellica.com/insurer-denial-rates/alabama/blue-cross-and-blue-shield-of-alabama
Community Insurance Company(Anthem BCBS),OH,0.2211,0.0833,-13.779999999999998,3535080,https://apellica.com/insurer-denial-rates/ohio/community-insurance-company-anthem-bcbs
"UnitedHealthcare of Texas, Inc.",TX,0.311,0.1735,-13.750000000000002,14698969,https://apellica.com/insurer-denial-rates/texas/unitedhealthcare-of-texas-inc
"UnitedHealthcare of Ohio, Inc.",OH,0.3643,0.2323,-13.200000000000001,895840,https://apellica.com/insurer-denial-rates/ohio/unitedhealthcare-of-ohio-inc
Matthew Thornton Hlth Plan(Anthem BCBS),NH,0.1987,0.0698,-12.889999999999999,2199992,https://apellica.com/insurer-denial-rates/new-hampshire/matthew-thornton-hlth-plan-anthem-bcbs
"UnitedHealthcare Community Plan, Inc.",MI,0.3864,0.2626,-12.380000000000003,780202,https://apellica.com/insurer-denial-rates/michigan/unitedhealthcare-community-plan-inc
"UnitedHealthcare of Florida, Inc.",FL,0.3241,0.202,-12.209999999999999,3564380,https://apellica.com/insurer-denial-rates/florida/unitedhealthcare-of-florida-inc
BridgeSpan Health Company,UT,0.2763,0.1658,-11.049999999999999,7900,https://apellica.com/insurer-denial-rates/utah/bridgespan-health-company
"AmeriHealth Caritas North Carolina, Inc.",NC,0.3914,0.2817,-10.970000000000002,387771,https://apellica.com/insurer-denial-rates/north-carolina/amerihealth-caritas-north-carolina-inc
"UnitedHealthcare of Mississippi, Inc.",MS,0.3192,0.2145,-10.469999999999999,314752,https://apellica.com/insurer-denial-rates/mississippi/unitedhealthcare-of-mississippi-inc
Select Health of South Carolina,SC,0.428,0.3265,-10.149999999999999,121039,https://apellica.com/insurer-denial-rates/south-carolina/select-health-of-south-carolina
"UnitedHealthcare of Oklahoma, Inc.",OK,0.3281,0.2285,-9.959999999999999,260548,https://apellica.com/insurer-denial-rates/oklahoma/unitedhealthcare-of-oklahoma-inc
UnitedHealthcare Insurance Company,TN,0.3038,0.2069,-9.690000000000001,2157936,https://apellica.com/insurer-denial-rates/tennessee/unitedhealthcare-insurance-company
"UnitedHealthcare of North Carolina, Inc",NC,0.2985,0.2117,-8.68,1601659,https://apellica.com/insurer-denial-rates/north-carolina/unitedhealthcare-of-north-carolina-inc
"Molina Healthcare of Florida, Inc",FL,0.3213,0.2357,-8.559999999999999,1447710,https://apellica.com/insurer-denial-rates/florida/molina-healthcare-of-florida-inc
Cigna Health and Life Insurance Company,IN,0.2782,0.1956,-8.260000000000002,384617,https://apellica.com/insurer-denial-rates/indiana/cigna-health-and-life-insurance-company
UnitedHealthcare Insurance Company,MO,0.2658,0.1901,-7.5699999999999985,1070569,https://apellica.com/insurer-denial-rates/missouri/unitedhealthcare-insurance-company
Blue Cross Blue Shield of Oklahoma,OK,0.2345,0.1642,-7.029999999999998,8439891,https://apellica.com/insurer-denial-rates/oklahoma/blue-cross-blue-shield-of-oklahoma
Common Ground Healthcare Cooperative,WI,0.161,0.0955,-6.550000000000001,1504864,https://apellica.com/insurer-denial-rates/wisconsin/common-ground-healthcare-cooperative
