plan_year,claims_year,state,issuer_id,issuer_name,in_network_claims_received,in_network_claims_denied,in_network_denial_rate,out_of_network_claims_received,out_of_network_claims_denied,internal_appeals_filed,internal_appeals_overturned,internal_appeal_overturn_rate,external_reviews_filed,external_reviews_overturned,external_review_overturn_rate,plan_count,issuer_policy_url,apellica_page
2024,2022,AK,73836,"Moda Health Plan, Inc.",0,0,,,,,,,,,,7,https://www.modahealth.com/members/transparency.shtml?state=ak,https://apellica.com/insurer-denial-rates/alaska/moda-health-plan-inc
2025,2023,AK,73836,"Moda Health Plan, Inc.",0,0,,,,,,,,,,7,https://www.modahealth.com/members/transparency.shtml?state=ak,https://apellica.com/insurer-denial-rates/alaska/moda-health-plan-inc
2026,2024,AK,73836,"Moda Health Plan, Inc.",168684,29231,0.1733,35374,66671,35,17,0.4857,0,0,0,7,https://www.modahealth.com/members/transparency.shtml?state=ak,https://apellica.com/insurer-denial-rates/alaska/moda-health-plan-inc
2024,2022,AK,38344,Premera Blue Cross Blue Shield of Alaska,689988,166188,0.2409,40884,,271,128,0.4723,,,,9,https://www.premera.com/visitor/transparency-coverage?region=pbcak,https://apellica.com/insurer-denial-rates/alaska/premera-blue-cross-blue-shield-of-alaska
2025,2023,AK,38344,Premera Blue Cross Blue Shield of Alaska,732654,186285,0.2543,44793,23449,252,125,0.496,,,,8,https://www.premera.com/visitor/transparency-coverage?region=pbcak,https://apellica.com/insurer-denial-rates/alaska/premera-blue-cross-blue-shield-of-alaska
2026,2024,AK,38344,Premera Blue Cross Blue Shield of Alaska,777414,210082,0.2702,41736,21282,187,89,0.4759,,,,8,https://www.premera.com/visitor/transparency-coverage?region=pbcak,https://apellica.com/insurer-denial-rates/alaska/premera-blue-cross-blue-shield-of-alaska
2024,2022,AL,46944,Blue Cross and Blue Shield of Alabama,12644297,3214360,0.2542,138737,,1982,707,0.3567,54,,,19,https://www.bcbsal.org/web/public/portal/claims-payment-policy-other-information.html,https://apellica.com/insurer-denial-rates/alabama/blue-cross-and-blue-shield-of-alabama
2025,2023,AL,46944,Blue Cross and Blue Shield of Alabama,13033751,4533017,0.3478,240263,216318,1730,806,0.4659,80,0,0,19,https://www.bcbsal.org/web/public/portal/claims-payment-policy-other-information.html,https://apellica.com/insurer-denial-rates/alabama/blue-cross-and-blue-shield-of-alabama
2026,2024,AL,46944,Blue Cross and Blue Shield of Alabama,10704172,2038603,0.1904,204199,181561,5200,2608,0.5015,13,0,0,21,https://www.bcbsal.org/web/public/portal/claims-payment-policy-other-information.html,https://apellica.com/insurer-denial-rates/alabama/blue-cross-and-blue-shield-of-alabama
2024,2022,AL,53932,Celtic Insurance Company,0,0,,,,,,,,,,18,https://ambetterofalabama.com/resources/handbooks-forms/transparency-notice-2024.html,https://apellica.com/insurer-denial-rates/alabama/celtic-insurance-company
2025,2023,AL,53932,Celtic Insurance Company,714117,121096,0.1696,265380,52917,218,73,0.3349,0,0,0,17,https://ambetterofalabama.com/resources/handbooks-forms/transparency-notice-2025.html,https://apellica.com/insurer-denial-rates/alabama/celtic-insurance-company
2026,2024,AL,53932,Celtic Insurance Company,1644320,352236,0.2142,551207,85607,377,,,,0,,19,https://www.ambetterhealth.com/en/al/resources/handbooks-forms/transparency-notice-2025,https://apellica.com/insurer-denial-rates/alabama/celtic-insurance-company
2026,2024,AL,17091,Oscar Insurance Company,0,0,,,,,,,,,,9,https://www.hioscar.com/al_tic_2026,https://apellica.com/insurer-denial-rates/alabama/oscar-insurance-company
2024,2022,AL,69461,UnitedHealthcare Insurance Company,320011,113673,0.3552,50233,,156,74,0.4744,,,,14,https://www.uhc.com/transparency,https://apellica.com/insurer-denial-rates/alabama/unitedhealthcare-insurance-company
2025,2023,AL,69461,UnitedHealthcare Insurance Company,770887,320530,0.4158,273505,187474,597,174,0.2915,,,,13,https://www.uhc.com/transparency,https://apellica.com/insurer-denial-rates/alabama/unitedhealthcare-insurance-company
