rank,state,state_code,issuer_filings,median_issuer_denial_rate,pooled_denial_rate,in_network_claims,in_network_denied,internal_appeals,appeals_per_1000_denials,appeal_overturn_rate,plan_year_file,claims_year,apellica_page
1,Delaware,DE,3,0.2798,0.19737057817537781,2232506,440631,253,0.5741765785884334,0.3241106719367589,2026,2024,https://apellica.com/insurer-denial-rates/delaware
2,Oklahoma,OK,7,0.2285,0.18256007789611672,11625740,2122396,9639,4.541565287533523,0.280319535221496,2026,2024,https://apellica.com/insurer-denial-rates/oklahoma
3,Alaska,AK,2,0.22175,0.2529473690886145,946098,239313,222,0.9276554136214915,0.4774774774774775,2026,2024,https://apellica.com/insurer-denial-rates/alaska
4,West Virginia,WV,2,0.21839999999999998,0.21032713759082228,3184929,669877,1123,1.676427164987005,0.0943900267141585,2026,2024,https://apellica.com/insurer-denial-rates/west-virginia
5,Texas,TX,14,0.21585,0.18549642432852548,120606438,22372063,90241,4.033646785278586,0.36942188140645604,2026,2024,https://apellica.com/insurer-denial-rates/texas
6,North Carolina,NC,7,0.2152,0.19873634432013734,23717695,4713568,6632,1.4070020841960909,0.2723160434258142,2026,2024,https://apellica.com/insurer-denial-rates/north-carolina
7,Nebraska,NE,3,0.2131,0.1959565366737765,1959261,383930,2540,6.6157893365978175,0.38976377952755903,2026,2024,https://apellica.com/insurer-denial-rates/nebraska
8,Iowa,IA,3,0.213,0.18847694959604178,4833668,911035,8153,8.9491622165998,0.3049184349319269,2026,2024,https://apellica.com/insurer-denial-rates/iowa
9,Arizona,AZ,6,0.2121,0.20078454140290206,7874919,1581162,12351,7.811343809173254,0.30386203546271556,2026,2024,https://apellica.com/insurer-denial-rates/arizona
10,Mississippi,MS,4,0.2111,0.18327114785790244,14872712,2725739,1687,0.6189147236767717,0.14226437462951985,2026,2024,https://apellica.com/insurer-denial-rates/mississippi
11,Tennessee,TN,5,0.2069,0.20122522204098509,22656628,4559085,14943,3.277631366820316,0.319279930402195,2026,2024,https://apellica.com/insurer-denial-rates/tennessee
12,Florida,FL,11,0.202,0.2215623986617034,82397280,18256139,12952,0.709459979462251,0.3665843113032736,2026,2024,https://apellica.com/insurer-denial-rates/florida
13,South Carolina,SC,5,0.2012,0.17042467935235311,21454469,3656371,5055,1.382518349478212,0.31632047477744807,2026,2024,https://apellica.com/insurer-denial-rates/south-carolina
14,Ohio,OH,10,0.19965,0.17881621304569725,16409625,2934307,35236,12.008286794803679,0.28351685775911,2026,2024,https://apellica.com/insurer-denial-rates/ohio
15,Michigan,MI,7,0.1989,0.17373180519814127,13652457,2371866,2671,1.1261175799981955,0.24709846499438412,2026,2024,https://apellica.com/insurer-denial-rates/michigan
16,Missouri,MO,8,0.19865,0.15583236445754242,12197986,1900841,7652,4.025586569313267,0.3278881338212232,2026,2024,https://apellica.com/insurer-denial-rates/missouri
17,Kansas,KS,6,0.19715,0.18230834091558937,6298697,1148305,6377,5.553402623867353,0.29371177669750664,2026,2024,https://apellica.com/insurer-denial-rates/kansas
18,Alabama,AL,3,0.1904,0.1886907601173706,18358599,3464098,8318,2.4012022754552556,0.4402500601106035,2026,2024,https://apellica.com/insurer-denial-rates/alabama
19,Utah,UT,5,0.187,0.186102783088506,9574435,1781829,6469,3.630539181930477,0.2686659452774772,2026,2024,https://apellica.com/insurer-denial-rates/utah
20,Louisiana,LA,5,0.1814,0.18579930695845054,9356149,1738366,4553,2.619126236937446,0.3386777948605315,2026,2024,https://apellica.com/insurer-denial-rates/louisiana
21,Indiana,IN,3,0.1812,0.1518029778296354,6461283,980842,6862,6.996029941621586,0.1933838531040513,2026,2024,https://apellica.com/insurer-denial-rates/indiana
22,Wyoming,WY,1,0.1762,0.17616859417754555,1305051,229909,434,1.8877033956913387,0.3986175115207373,2026,2024,https://apellica.com/insurer-denial-rates/wyoming
23,Hawaii,HI,2,0.16225,0.2702221460469811,735147,198653,137,0.6896447574413677,0.49635036496350365,2026,2024,https://apellica.com/insurer-denial-rates/hawaii
24,Arkansas,AR,6,0.15844999999999998,0.15891140297665357,17922408,2848075,12089,4.2446213670637185,0.24675324675324675,2026,2024,https://apellica.com/insurer-denial-rates/arkansas
25,North Dakota,ND,3,0.1352,0.09816455086375309,1432238,140595,364,2.588996763754045,0.521978021978022,2026,2024,https://apellica.com/insurer-denial-rates/north-dakota
26,New Hampshire,NH,4,0.13265,0.10428460392721016,3105818,323889,671,2.0716974025051793,0.4217585692995529,2026,2024,https://apellica.com/insurer-denial-rates/new-hampshire
27,Montana,MT,2,0.11495,0.11630867191424224,2012739,234099,1499,6.4032738285938855,0.2555036691127418,2026,2024,https://apellica.com/insurer-denial-rates/montana
28,Wisconsin,WI,12,0.1079,0.12095432922499658,9824576,1188325,2083,1.752887467654051,0.49927988478156504,2026,2024,https://apellica.com/insurer-denial-rates/wisconsin
29,Oregon,OR,6,0.10200000000000001,0.10873047343352543,2552164,277498,1265,4.558591413271447,0.31699604743083004,2026,2024,https://apellica.com/insurer-denial-rates/oregon
30,South Dakota,SD,3,0.0412,0.06549032539214612,1716452,112411,671,5.969166718559571,0.4918032786885246,2026,2024,https://apellica.com/insurer-denial-rates/south-dakota
